Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Year
65;Jamaica;Latin America and Caribbean;5,70900;4,79395;0,82085;64;0,75316;0,26675;0,95835;2015
66;North Cyprus;Western Europe;5,69500;7,14652;0,76313;72;0,73204;0,32881;0,74126;2015
67;Cyprus;Western Europe;5,68900;7,14692;0,63697;72;0,60729;0,38496;0,88864;2015
68;Algeria;Middle East and North Africa;5,60500;5,55657;0,76857;61;0,42672;0,09828;0,68504;2015
69;Kosovo;Central and Eastern Europe;5,58900;4,74132;0,57906;62;0,36953;0,35570;0,91410;2015
70;Turkmenistan;Commonwealth of Independent States;5,54800;5,67006;0,87481;58;0,71087;0,21333;0,44115;2015
71;Mauritius;Sub-Saharan Africa;5,47700;5,96071;0,70260;64;0,83714;0,47425;0,86373;2015
72;Hong Kong;East Asia;5,47400;8,19940;0,75464;75;0,89003;0,49602;0,32736;2015
73;Estonia;Central and Eastern Europe;5,42900;6,81338;0,87568;67;0,67023;0,10906;0,72488;2015
74;Indonesia;Southeast Asia;5,39900;4,89981;0,77525;62;0,69597;0,64752;1,00000;2015
75;Vietnam;Southeast Asia;5,36000;3,73967;0,65058;66;0,88758;0,21184;0,81082;2015
76;Turkey;Middle East and North Africa;5,33200;6,27647;0,67487;65;0,34066;0,15396;0,71471;2015
77;Kyrgyzstan;Commonwealth of Independent States;5,28600;2,80569;0,82094;62;0,64918;0,37732;0,92333;2015
78;Nigeria;Sub-Saharan Africa;5,26800;3,87095;0,64491;45;0,51265;0,34218;0,92697;2015
79;Bhutan;South Asia;5,25300;4,55759;0,78728;59;0,79444;0,60308;0,72016;2015
80;Azerbaijan;Commonwealth of Independent States;5,21200;6,05702;0,66889;62;0,55290;0,09800;0,70891;2015
81;Pakistan;South Asia;5,19400;3,52236;0,29532;57;0,18069;0,42306;0,81040;2015
82;Montenegro;Central and Eastern Europe;5,19200;5,76415;0,64581;65;0,27264;0,20279;0,74098;2015
83;Jordan;Middle East and North Africa;5,19200;5,33583;0,75160;64;0,60713;0,13887;0,74102;2015
84;China;East Asia;5,14000;5,26566;0,67517;68;0,77191;0,10285;0,94961;2015
85;Zambia;Sub-Saharan Africa;5,12900;2,78261;0,65333;50;0,72905;0,24615;0,77410;2015
86;Romania;Central and Eastern Europe;5,12400;6,17272;0,63176;67;0,52361;0,17274;0,98825;2015
87;Serbia;Central and Eastern Europe;5,12300;5,44558;0,72003;66;0,30022;0,24163;0,95258;2015
88;Portugal;Western Europe;5,10200;6,86169;0,81253;70;0,76850;0,17238;0,98047;2015
89;Latvia;Central and Eastern Europe;5,09800;6,58489;0,78134;65;0,44303;0,22900;0,88527;2015
90;Philippines;Southeast Asia;5,07300;4,17249;0,73822;60;0,93388;0,31400;0,77753;2015
91;Somaliland region;Sub-Saharan Africa;5,05700;1,11491;0,67858;55;0,69553;0,63223;0,27654;2015
92;Morocco;Middle East and North Africa;5,01300;4,34681;0,45709;61;0,62251;0,09011;0,84516;2015
93;Macedonia;Central and Eastern Europe;5,00700;5,43361;0,71481;65;0,49956;0,28093;0,90348;2015
94;Mozambique;Sub-Saharan Africa;4,97100;0,49149;0,73188;42;0,50821;0,27980;0,71729;2015
95;Albania;Central and Eastern Europe;4,95900;5,19798;0,57361;68;0,53354;0,17933;0,88381;2015
96;Bosnia and Herzegovina;Central and Eastern Europe;4,94900;4,92324;0,65549;67;0,13804;0,31171;0,99589;2015
97;Lesotho;Sub-Saharan Africa;4,89800;2,22106;0,74241;41;0,47433;0,20591;0,77345;2015
98;Dominican Republic;Latin America and Caribbean;4,88500;5,29675;0,83583;63;0,86112;0,27245;0,74209;2015
99;Laos;Southeast Asia;4,87600;3,49416;0,52632;59;0,88977;0,53012;0,56063;2015
100;Mongolia;East Asia;4,87400;4,89930;0,92752;60;0,65140;0,41752;0,95170;2015
101;Swaziland;Sub-Saharan Africa;4,86700;4,21236;0,76509;41;0,45777;0,22942;0,94456;2015
102;Greece;Western Europe;4,85700;6,82708;0,66275;71;0,11495;0,00000;0,97469;2015
103;Lebanon;Middle East and North Africa;4,83900;6,06739;0,57053;69;0,50641;0,27459;0,91698;2015
104;Hungary;Central and Eastern Europe;4,80000;6,63118;0,85731;66;0,47948;0,16083;0,95003;2015
105;Honduras;Latin America and Caribbean;4,78800;3,52173;0,67998;64;0,59947;0,28933;0,87634;2015
106;Tajikistan;Commonwealth of Independent States;4,78600;2,30991;0,61019;59;0,70500;0,28866;0,72691;2015
107;Tunisia;Middle East and North Africa;4,73900;5,21253;0,43095;65;0,39222;0,08081;0,88480;2015
108;Palestinian Territories;Middle East and North Africa;4,71500;3,54158;0,66007;63;0,36580;0,14136;0,76618;2015
109;Bangladesh;South Asia;4,69400;2,35166;0,30741;60;0,60950;0,26664;0,77226;2015
110;Iran;Middle East and North Africa;4,68600;5,96774;0,38829;64;0,44843;0,47853;0,89378;2015
111;Ukraine;Commonwealth of Independent States;4,68100;4,72705;0,85776;63;0,37512;0,19192;0,94635;2015
112;Iraq;Middle East and North Africa;4,67700;5,82990;0,58399;60;0,00000;0,22518;0,75018;2015
113;South Africa;Sub-Saharan Africa;4,64200;5,44536;0,84486;49;0,49582;0,15044;0,83903;2015
114;Ghana;Sub-Saharan Africa;4,63300;3,22748;0,48461;53;0,63222;0,29008;0,92109;2015
115;Zimbabwe;Sub-Saharan Africa;4,61000;1,60314;0,73651;51;0,38614;0,23857;0,85361;2015
116;Liberia;Sub-Saharan Africa;4,57100;0,42120;0,56316;51;0,42600;0,30610;0,88708;2015
117;India;South Asia;4,56500;3,81558;0,27223;57;0,59406;0,33265;0,84614;2015
118;Sudan;Sub-Saharan Africa;4,55000;3,08252;0,72316;52;0,15053;0,23950;0,73437;2015
119;Haiti;Latin America and Caribbean;4,51800;1,57791;0,52988;53;0,36470;0,58032;0,68880;2015
120;Congo (Kinshasa);Sub-Saharan Africa;4,51700;0,00000;0,71400;42;0,33753;0,31203;0,86185;2015
121;Nepal;South Asia;4,51400;2,12947;0,61651;59;0,57161;0,40578;0,89298;2015
122;Ethiopia;Sub-Saharan Africa;4,51200;1,12829;0,43078;55;0,64877;0,30563;0,72736;2015
123;Sierra Leone;Sub-Saharan Africa;4,50700;1,95360;0,68156;39;0,60980;0,26999;0,84081;2015
124;Mauritania;Sub-Saharan Africa;4,43600;2,68612;0,61978;52;0,36182;0,27516;0,68362;2015
125;Kenya;Sub-Saharan Africa;4,41900;2,15751;0,71227;54;0,63033;0,47171;0,89421;2015
126;Djibouti;Sub-Saharan Africa;4,36900;2,60440;0,42223;52;0,68795;0,22733;0,49077;2015
127;Armenia;Commonwealth of Independent States;4,35000;4,54452;0,55420;65;0,29635;0,09870;0,92933;2015
128;Botswana;Sub-Saharan Africa;4,33200;5,87752;0,78777;40;0,73903;0,13143;0,77398;2015
129;Myanmar;Southeast Asia;4,30700;1,60360;0,50566;56;0,65723;1,00000;0,65513;2015
130;Georgia;Commonwealth of Independent States;4,29700;4,38886;0,27500;65;0,60588;0,06969;0,30549;2015
131;Malawi;Sub-Saharan Africa;4,29200;0,09487;0,29335;47;0,64285;0,41624;0,87359;2015
132;Sri Lanka;South Asia;4,27100;4,94102;0,72674;64;0,80220;0,51298;0,83370;2015
133;Cameroon;Sub-Saharan Africa;4,25200;2,49938;0,63304;47;0,73625;0,25906;0,89517;2015
134;Bulgaria;Central and Eastern Europe;4,21800;5,98762;0,78884;66;0,45671;0,14978;0,98420;2015
135;Egypt;Middle East and North Africa;4,19400;5,21644;0,53272;61;0,25813;0,14186;0,88541;2015
136;Yemen;Middle East and North Africa;4,07700;3,23288;0,48560;53;0,53112;0,11473;0,85769;2015
137;Angola;Sub-Saharan Africa;4,03300;4,48283;0,61359;45;0,15505;0,15510;0,87097;2015
138;Mali;Sub-Saharan Africa;3,99500;1,54249;0,73830;46;0,58019;0,23619;0,77620;2015
139;Congo (Brazzaville);Sub-Saharan Africa;3,98900;4,01476;0,47274;50;0,61915;0,15565;0,78827;2015
140;Comoros;Sub-Saharan Africa;3,95600;1,41419;0,56534;52;0,34218;0,21914;0,63943;2015
141;Uganda;Sub-Saharan Africa;3,93100;1,24835;0,80799;51;0,68277;0,36521;0,86834;2015
142;Senegal;Sub-Saharan Africa;3,90400;2,15909;0,69617;54;0,54905;0,26188;0,80589;2015
143;Gabon;Sub-Saharan Africa;3,89600;6,27204;0,64560;54;0,47653;0,08571;0,79905;2015
144;Niger;Sub-Saharan Africa;3,84500;0,41055;0,55101;49;0,71210;0,24359;0,71664;2015
145;Cambodia;Southeast Asia;3,81900;2,72347;0,44740;61;0,98914;0,50710;0,86869;2015
146;Tanzania;Sub-Saharan Africa;3,78100;1,68716;0,71506;53;0,49091;0,43194;0,89588;2015
147;Madagascar;Sub-Saharan Africa;3,68100;1,23192;0,47639;56;0,28644;0,26805;0,85280;2015
148;Central African Republic;Sub-Saharan Africa;3,67800;0,46439;0,00000;41;0,72984;0,29948;0,84981;2015
149;Chad;Sub-Saharan Africa;3,66700;2,02275;0,54243;44;0,35090;0,23102;0,90454;2015
150;Guinea;Sub-Saharan Africa;3,65600;1,03032;0,33144;47;0,56329;0,36006;0,78006;2015
151;Ivory Coast;Sub-Saharan Africa;3,65500;2,75284;0,54994;44;0,69977;0,25337;0,67528;2015
152;Burkina Faso;Sub-Saharan Africa;3,58700;1,52693;0,60752;49;0,58968;0,27324;0,76750;2015
153;Afghanistan;South Asia;3,57500;1,89197;0,21598;50;0,34960;0,45874;0,82391;2015
154;Rwanda;Sub-Saharan Africa;3,46500;1,31375;0,55176;54;0,88395;0,28431;0,00000;2015
155;Benin;Sub-Saharan Africa;3,34000;1,69577;0,25236;50;0,72342;0,22943;0,85487;2015
156;Syria;Middle East and North Africa;3,00600;3,92329;0,33867;65;0,23418;0,59279;0,65745;2015
157;Burundi;Sub-Saharan Africa;2,90500;0,09053;0,29658;47;0,17693;0,24786;0,81769;2015
158;Togo;Sub-Saharan Africa;2,83900;1,23446;0,09980;49;0,54429;0,20959;0,80556;2015
111;Sierra Leone;Sub-Saharan Africa;4,63500;9,44368;0,53074;44;0,50429;0,29153;0,16223;2016
144;Chad;Sub-Saharan Africa;3,76300;9,42133;0,53393;46;0,21048;0,22772;0,09803;2016
139;Ivory Coast;Sub-Saharan Africa;3,91600;9,97862;0,48659;46;0,66827;0,24811;0,30739;2016
141;Angola;Sub-Saharan Africa;3,86600;9,92280;0,56087;46;0,00967;0,14726;0,16694;2016
103;Nigeria;Sub-Saharan Africa;4,87500;9,70016;0,54509;46;0,45776;0,28325;0,06037;2016
76;Somalia;Sub-Saharan Africa;5,44000;0,00000;0,28407;49;0,93311;0,33213;0,61717;2016
114;Cameroon;Sub-Saharan Africa;4,51300;9,62138;0,52856;49;0,70234;0,27668;0,12126;2016
157;Burundi;Sub-Saharan Africa;2,90500;7,36575;0,19812;51;0,07100;0,24753;0,18643;2016
143;South Sudan;Sub-Saharan Africa;3,83200;9,96735;0,15651;51;0,32314;0,31595;0,25762;2016
131;Zimbabwe;Sub-Saharan Africa;4,19300;9,51646;0,60408;51;0,41791;0,22573;0,16986;2016
135;Mali;Sub-Saharan Africa;4,07300;9,73172;0,72962;51;0,45267;0,25697;0,27012;2016
154;Afghanistan;South Asia;3,36000;9,63815;0,09327;51;0,27002;0,38145;0,14077;2016
116;South Africa;Sub-Saharan Africa;4,45900;9,95684;0,81177;52;0,69817;0,16660;0,16657;2016
125;Congo (Kinshasa);Sub-Saharan Africa;4,27200;7,90737;0,68182;52;0,25640;0,31057;0,12025;2016
151;Guinea;Sub-Saharan Africa;3,60700;8,49819;0,26275;52;0,50869;0,36493;0,23595;2016
146;Uganda;Sub-Saharan Africa;3,73900;9,88760;0,76890;52;0,71741;0,33063;0,12751;2016
153;Benin;Sub-Saharan Africa;3,48400;9,21448;0,08805;53;0,65321;0,24619;0,13223;2016
145;Burkina Faso;Sub-Saharan Africa;3,73900;9,68359;0,53288;53;0,54841;0,29709;0,24807;2016
150;Liberia;Sub-Saharan Africa;3,62200;7,64019;0,42554;54;0,42316;0,29355;0,09604;2016
106;Zambia;Sub-Saharan Africa;4,79500;9,96247;0,53885;54;0,70112;0,21795;0,22721;2016
155;Togo;Sub-Saharan Africa;3,30300;9,51589;0,00000;54;0,56991;0,21369;0,22935;2016
142;Niger;Sub-Saharan Africa;3,85600;5,01702;0,51155;55;0,62517;0,25582;0,33999;2016
136;Haiti;Latin America and Caribbean;4,02800;9,99461;0,24983;55;0,19840;0,58506;0,28653;2016
127;Congo (Brazzaville);Sub-Saharan Africa;4,23600;9,64441;0,40396;56;0,62348;0,14733;0,19305;2016
130;Mauritania;Sub-Saharan Africa;4,20100;9,67499;0,71110;56;0,20839;0,27676;0,35540;2016
132;Malawi;Sub-Saharan Africa;4,15600;7,72189;0,12423;56;0,68088;0,37779;0,14971;2016
124;Ghana;Sub-Saharan Africa;4,27600;9,28626;0,41709;56;0,67337;0,25867;0,06453;2016
133;Sudan;Sub-Saharan Africa;4,13900;9,99269;0,69239;56;0,00000;0,22053;0,19870;2016
138;Comoros;Sub-Saharan Africa;3,95600;9,80559;0,50980;56;0,25328;0,22289;0,36493;2016
122;Kenya;Sub-Saharan Africa;4,35600;9,94645;0,64432;56;0,66683;0,50418;0,13234;2016
147;Yemen;Middle East and North Africa;3,72400;9,34875;0,40138;57;0,37585;0,11981;0,11663;2016
152;Rwanda;Sub-Saharan Africa;3,51500;9,55183;0,52048;57;0,89271;0,28732;1,00000;2016
97;Somaliland region;Sub-Saharan Africa;5,05700;9,13349;0,64113;58;0,64307;0,62801;0,72829;2016
115;Ethiopia;Sub-Saharan Africa;4,50800;9,21583;0,32057;58;0,60319;0,36015;0,33986;2016
113;Namibia;Sub-Saharan Africa;4,57400;9,98753;0,59464;58;0,79893;0,09509;0,20581;2016
137;Botswana;Sub-Saharan Africa;3,97400;9,97103;0,75374;58;0,72458;0,15158;0,21317;2016
134;Gabon;Sub-Saharan Africa;4,12100;9,93276;0,61160;58;0,46176;0,07617;0,18436;2016
149;Tanzania;Sub-Saharan Africa;3,66600;9,57975;0,65601;59;0,52196;0,38394;0,10093;2016
148;Madagascar;Sub-Saharan Africa;3,69500;9,92691;0,38973;59;0,22488;0,26887;0,14857;2016
102;Laos;Southeast Asia;4,87600;9,86262;0,46456;60;0,85734;0,52554;0,44383;2016
119;Myanmar;Southeast Asia;4,39500;9,78674;0,59143;60;0,70161;1,00000;0,40069;2016
92;Pakistan;South Asia;5,13200;9,93634;0,22088;60;0,24030;0,38043;0,27475;2016
128;Senegal;Sub-Saharan Africa;4,21900;9,91461;0,65426;61;0,51038;0,23305;0,23121;2016
140;Cambodia;Southeast Asia;3,90700;9,90401;0,45425;61;0,96719;0,49211;0,16018;2016
65;Turkmenistan;Commonwealth of Independent States;5,65800;9,91722;0,87739;62;0,61477;0,27530;0,56347;2016
118;India;South Asia;4,40400;9,99974;0,24718;62;0,66205;0,30533;0,17265;2016
52;Belize;Latin America and Caribbean;5,95600;9,76528;0,58022;63;0,84195;0,28893;0,21320;2016
59;Bolivia;Latin America and Caribbean;5,82200;9,72997;0,70803;63;0,83751;0,26470;0,15332;2016
82;Philippines;Southeast Asia;5,27900;9,67256;0,74267;63;0,90149;0,26441;0,23271;2016
79;Indonesia;Southeast Asia;5,31400;9,96273;0,74054;64;0,64483;0,68953;0,00638;2016
84;Bhutan;South Asia;5,19600;9,88423;0,76768;64;0,75719;0,59223;0,31987;2016
107;Nepal;South Asia;4,79300;9,34497;0,58904;64;0,60826;0,46553;0,13872;2016
49;Uzbekistan;Commonwealth of Independent States;5,98700;9,92666;0,98719;64;1,00000;0,41876;0,56081;2016
40;Suriname;Latin America and Caribbean;6,26900;9,82217;0,65807;65;0,85843;0,20330;0,25123;2016
112;Iraq;Middle East and North Africa;4,57500;9,95884;0,50035;65;0,40849;0,23897;0,26990;2016
120;Egypt;Middle East and North Africa;4,36200;9,98272;0,42098;65;0,30973;0,15501;0,20572;2016
67;Libya;Middle East and North Africa;5,61500;9,97807;0,80351;65;0,66842;0,20845;0,20465;2016
55;Moldova;Western Europe;5,89700;9,96358;0,70257;65;0,41419;0,24396;0,03767;2016
43;Trinidad and Tobago;Latin America and Caribbean;6,16800;9,89094;0,83303;65;0,79629;0,38959;0,02456;2016
110;Bangladesh;South Asia;4,64300;9,70737;0,20916;66;0,65372;0,23340;0,24907;2016
100;Tajikistan;Commonwealth of Independent States;4,99600;9,19796;0,63893;66;0,71338;0,31716;0,26739;2016
77;Kosovo;Central and Eastern Europe;5,40100;9,58862;0,55831;66;0,23659;0,34149;0,12959;2016
39;Guatemala;Latin America and Caribbean;6,32400;9,95073;0,73626;66;0,82794;0,35145;0,17223;2016
81;Azerbaijan;Commonwealth of Independent States;5,29100;9,92557;0,64265;66;0,58057;0,06880;0,35458;2016
85;Kyrgyzstan;Commonwealth of Independent States;5,18500;9,60064;0,80653;67;0,66086;0,46884;0,09426;2016
101;Mongolia;East Asia;4,90700;9,90815;0,92104;67;0,59117;0,42135;0,06502;2016
108;Palestinian Territories;Middle East and North Africa;4,75400;9,81712;0,60536;67;0,29161;0,13607;0,21008;2016
54;Kazakhstan;Commonwealth of Independent States;5,91900;9,97172;0,80746;67;0,66592;0,18313;0,22034;2016
89;Dominican Republic;Latin America and Caribbean;5,15500;9,97101;0,84086;67;0,85883;0,25967;0,24488;2016
70;Paraguay;Latin America and Caribbean;5,53800;9,89537;0,93902;68;0,75984;0,30859;0,14639;2016
104;Honduras;Latin America and Caribbean;4,87100;9,30923;0,63888;68;0,43970;0,24936;0,13670;2016
123;Ukraine;Western Europe;4,32400;9,98844;0,85707;68;0,21133;0,24841;0,03621;2016
56;Russia;Commonwealth of Independent States;5,85600;9,91010;0,88958;68;0,53710;0,03338;0,07097;2016
34;Saudi Arabia;Middle East and North Africa;6,37900;9,85068;0,71691;68;0,62293;0,18857;0,59396;2016
73;Jamaica;Latin America and Caribbean;5,51000;9,99455;0,81446;68;0,71649;0,27138;0,08499;2016
90;Morocco;Middle East and North Africa;5,15100;9,90293;0,32618;68;0,42148;0,04944;0,16635;2016
98;Tunisia;Middle East and North Africa;5,04500;9,86052;0,36480;68;0,38707;0,04802;0,16171;2016
46;El Salvador;Latin America and Caribbean;6,06800;9,96561;0,68434;68;0,61248;0,10830;0,21006;2016
31;Colombia;Latin America and Caribbean;6,48100;9,95212;0,86346;68;0,73519;0,19063;0,10686;2016
80;Jordan;Middle East and North Africa;5,30300;9,72954;0,72863;69;0,59201;0,17399;0,26320;2016
17;Brazil;Latin America and Caribbean;6,95200;9,98032;0,87840;69;0,66437;0,19246;0,28040;2016
38;Algeria;Middle East and North Africa;6,35500;9,83726;0,70406;69;0,34521;0,08593;0,31981;2016
44;Venezuela;Latin America and Caribbean;6,08400;9,89269;0,87303;69;0,32618;0,05185;0,16437;2016
117;Sri Lanka;South Asia;4,41500;9,94924;0,71652;69;0,83515;0,57311;0,15763;2016
47;Malaysia;Southeast Asia;6,00500;9,82890;0,74392;69;0,64144;0,50595;0,17975;2016
156;Syria;Middle East and North Africa;3,06900;9,91917;0,12563;70;0,11360;0,59041;0,34111;2016
64;Peru;Latin America and Caribbean;5,74300;9,99132;0,68671;70;0,61631;0,17722;0,10475;2016
61;Belarus;Commonwealth of Independent States;5,80200;9,96713;0,88732;70;0,47809;0,17008;0,34554;2016
88;Montenegro;Western Europe;5,16100;9,97972;0,62685;70;0,24833;0,20972;0,25180;2016
41;Kuwait;Middle East and North Africa;6,23900;9,78917;0,74167;70;0,70941;0,19477;0,46850;2016
68;Latvia;Western Europe;5,56000;9,88524;0,80308;70;0,46009;0,21282;0,17596;2016
126;Georgia;Western Europe;4,25200;9,96148;0,16268;70;0,53347;0,08278;0,63102;2016
121;Armenia;Commonwealth of Independent States;4,36000;9,83195;0,52801;70;0,23069;0,09507;0,07157;2016
105;Iran;Middle East and North Africa;4,81300;9,94451;0,32839;70;0,37049;0,47014;0,11024;2016
86;Serbia;Western Europe;5,17700;9,78779;0,68733;70;0,25832;0,25297;0,08589;2016
60;Lithuania;Western Europe;5,81300;9,93420;0,89930;70;0,31108;0,02470;0,03602;2016
78;Turkey;Middle East and North Africa;5,38900;9,95010;0,74132;70;0,39260;0,05742;0,24441;2016
95;Macedonia;Western Europe;5,12100;9,94196;0,66119;70;0,45471;0,28677;0,13949;2016
33;Thailand;Southeast Asia;6,47400;9,94463;0,88296;70;0,81437;0,71606;0,05608;2016
48;Nicaragua;Latin America and Caribbean;5,99200;9,99201;0,75656;70;0,76555;0,36322;0,32247;2016
42;Bahrain;Middle East and North Africa;6,21800;9,98695;0,79777;71;0,77858;0,20918;0,51013;2016
96;Vietnam;Southeast Asia;5,06100;9,88867;0,66863;71;0,91957;0,30590;0,22874;2016
66;Mauritius;Sub-Saharan Africa;5,64800;9,91893;0,63972;71;0,75836;0,45078;0,10299;2016
71;Romania;Western Europe;5,52800;9,87727;0,61527;71;0,60334;0,15724;0,01344;2016
91;Hungary;Western Europe;5,14500;9,95659;0,78735;71;0,32491;0,12077;0,08852;2016
